crop,growth_stage,soil_moisture_pct,rainfall_forecast_mm,temperature_c,humidity_pct,area_hectares,target_water_depth_mm
cotton,seedling,42,8,29,70,1.2,2.4
cotton,vegetative,34,5,31,64,1.5,4.9
cotton,flowering,28,2,34,56,1.5,6.8
cotton,harvest,39,6,30,68,1.4,2.1
cotton,vegetative,25,1,33,52,2.0,6.5
rice,seedling,55,12,28,78,2.0,2.8
rice,vegetative,48,10,30,82,2.2,4.0
rice,flowering,38,6,32,74,2.0,6.3
rice,harvest,50,9,29,80,1.8,3.1
rice,vegetative,42,4,33,70,2.5,6.7
maize,seedling,40,7,26,66,1.0,2.7
maize,vegetative,30,3,31,58,1.4,5.0
maize,flowering,22,1,35,50,1.3,6.4
maize,harvest,36,5,28,64,1.1,2.5
maize,vegetative,27,2,33,54,1.6,5.8
wheat,seedling,46,6,18,72,1.0,1.9
wheat,vegetative,35,4,21,68,1.3,3.6
wheat,flowering,29,2,24,60,1.4,4.5
wheat,harvest,40,5,20,70,1.2,2.0
wheat,vegetative,32,1,23,58,1.5,4.2
groundnut,seedling,38,5,27,64,1.0,2.6
groundnut,vegetative,29,3,30,58,1.3,4.4
groundnut,flowering,24,1,33,52,1.2,5.5
groundnut,harvest,34,4,28,62,1.1,2.3
groundnut,vegetative,26,2,31,55,1.4,4.9

