date,crop,market_name,price_per_quintal
2026-03-20,cotton,Coimbatore Market,7150
2026-03-23,cotton,Coimbatore Market,7205
2026-03-26,cotton,Coimbatore Market,7260
2026-03-29,cotton,Coimbatore Market,7315
2026-04-01,cotton,Coimbatore Market,7380
2026-04-04,cotton,Coimbatore Market,7440
2026-03-20,rice,Ludhiana Market,2480
2026-03-23,rice,Ludhiana Market,2495
2026-03-26,rice,Ludhiana Market,2510
2026-03-29,rice,Ludhiana Market,2522
2026-04-01,rice,Ludhiana Market,2538
2026-04-04,rice,Ludhiana Market,2550
2026-03-20,maize,Nagpur Market,2125
2026-03-23,maize,Nagpur Market,2140
2026-03-26,maize,Nagpur Market,2162
2026-03-29,maize,Nagpur Market,2174
2026-04-01,maize,Nagpur Market,2191
2026-04-04,maize,Nagpur Market,2208
2026-03-20,groundnut,Nagpur Market,5780
2026-03-23,groundnut,Nagpur Market,5825
2026-03-26,groundnut,Nagpur Market,5875
2026-03-29,groundnut,Nagpur Market,5910
2026-04-01,groundnut,Nagpur Market,5965
2026-04-04,groundnut,Nagpur Market,6010
2026-03-20,wheat,Ludhiana Market,2360
2026-03-23,wheat,Ludhiana Market,2372
2026-03-26,wheat,Ludhiana Market,2386
2026-03-29,wheat,Ludhiana Market,2398
2026-04-01,wheat,Ludhiana Market,2410
2026-04-04,wheat,Ludhiana Market,2424

